data_size,connection,fan_in,latency
8192,NV,1,11.49
16384,NV,1,12.79
32768,NV,1,13.25
65536,NV,1,14.91
131072,NV,1,15.98
262144,NV,1,17.37
524288,NV,1,17.85
1048576,NV,1,18.33
2097152,NV,1,20.85
4194304,NV,1,24.01
8388608,NV,1,29.69
16777216,NV,1,44.89
33554432,NV,1,85.31
67108864,NV,1,162.4
134217728,NV,1,304.4
268435456,NV,1,579.5
536870912,NV,1,1120.7
1073741824,NV,1,2194.6
2147483648,NV,1,4355.5
4294967296,NV,1,8630.6
8589934592,NV,1,17171
8192,NV,3,9.68
16384,NV,3,10.14
32768,NV,3,11.23
65536,NV,3,12.91
131072,NV,3,14.79
262144,NV,3,16.18
524288,NV,3,17.7
1048576,NV,3,18.55
2097152,NV,3,19.19
4194304,NV,3,22.57
8388608,NV,3,29.55
16777216,NV,3,47.79
33554432,NV,3,103
67108864,NV,3,201.7
134217728,NV,3,396.7
268435456,NV,3,781.9
536870912,NV,3,1542.6
1073741824,NV,3,3100.8
2147483648,NV,3,6158.8
4294967296,NV,3,12273
8589934592,NV,3,24494
8192,NV,7,10.96
16384,NV,7,9.91
32768,NV,7,10.6
65536,NV,7,11.83
131072,NV,7,13.67
262144,NV,7,15.43
524288,NV,7,15.89
1048576,NV,7,17.88
2097152,NV,7,18.47
4194304,NV,7,21.07
8388608,NV,7,30.21
16777216,NV,7,49.06
33554432,NV,7,109.8
67108864,NV,7,223.5
134217728,NV,7,446.5
268435456,NV,7,891.4
536870912,NV,7,1777.5
1073741824,NV,7,3589.9
2147483648,NV,7,7100.1
4294967296,NV,7,14239
8589934592,NV,7,28598
8192,IB,1,6.75
16384,IB,1,7.35
32768,IB,1,8.45
65536,IB,1,9.96
131072,IB,1,13.88
262144,IB,1,19.74
524288,IB,1,30.53
1048576,IB,1,51.86
2097152,IB,1,94.62
4194304,IB,1,179.93
8388608,IB,1,350.69